Node,eta,f,f_prime,f_dprime
1,0.0,0.0,0.0,0.46959998854606066
5,0.04,0.0003756798033915028,0.018783976019303313,0.46959763629495405
10,0.09,0.00190186910394489,0.04226339612205988,0.46957319570274203
20,0.19,0.008475824811701478,0.08921202529055285,0.46934796710640897
1001,10.0,8.783219380818,1.000000000255329,5.853512248739137e-18
