Node,eta,f,f_prime,f_dprime
1,0.0,0.0,0.0,-0.02016821241556957
5,0.04,-1.4001236972017323e-05,-0.0006467285406710414,-0.012168216430144495
10,0.09,-5.7381274797636894e-05,-0.0010051397956094713,-0.002168234500237269
20,0.19,-0.00013540307417187497,-0.0002219615919468869,0.01783184635402303
1801,18.0,15.572472200150388,1.0013542498495978,-3.5013762123323636e-05
